command=train
input=None
output=None
verbose=True
num_filters=128
checkpoint_dir=model
train_glob=images_train/*.png
batchsize=1
patchsize=256
lmbda=0.01
last_step=1000000
preprocess_threads=16

step=0,train_loss=51.790615,train_bpp=2.6991348,train_mse=9997.766
step=100,train_loss=18.38279,train_bpp=2.6544592,train_mse=1997.4072
step=200,train_loss=7.8560386,train_bpp=2.6092832,train_mse=955.08875
step=300,train_loss=11.50156,train_bpp=2.559931,train_mse=457.6906
step=400,train_loss=7.593446,train_bpp=2.517412,train_mse=2003.7849
step=500,train_loss=13.174592,train_bpp=2.4674377,train_mse=811.9949
step=600,train_loss=12.604791,train_bpp=2.42087,train_mse=735.63885
step=700,train_loss=4.674562,train_bpp=2.3752184,train_mse=215.94174
step=800,train_loss=6.876232,train_bpp=2.3279994,train_mse=711.2839
step=900,train_loss=8.683886,train_bpp=2.2885838,train_mse=240.65018
step=1000,train_loss=5.686595,train_bpp=2.2399616,train_mse=474.4324
step=1100,train_loss=3.7712803,train_bpp=2.1978836,train_mse=531.2459
step=1200,train_loss=6.869529,train_bpp=2.1554923,train_mse=284.86975
step=1300,train_loss=5.0995507,train_bpp=2.115331,train_mse=683.7382
step=1400,train_loss=4.4125204,train_bpp=2.0670505,train_mse=269.6235
step=1500,train_loss=7.165041,train_bpp=2.0376217,train_mse=478.2822
step=1600,train_loss=3.8101835,train_bpp=1.990308,train_mse=327.51105
step=1700,train_loss=7.70441,train_bpp=1.9467738,train_mse=309.5583
step=1800,train_loss=8.523896,train_bpp=1.9183434,train_mse=250.912
step=1900,train_loss=3.6390345,train_bpp=1.8765461,train_mse=384.24417
step=2000,train_loss=5.0767593,train_bpp=1.8339248,train_mse=148.86746
step=2100,train_loss=5.057019,train_bpp=1.7956549,train_mse=176.42017
step=2200,train_loss=3.204914,train_bpp=1.7669824,train_mse=350.05365
step=2300,train_loss=2.840044,train_bpp=1.7455347,train_mse=253.24242
step=2400,train_loss=4.0687356,train_bpp=1.7133981,train_mse=300.70828
step=2500,train_loss=5.50695,train_bpp=1.6658336,train_mse=182.42888
step=2600,train_loss=2.6747098,train_bpp=1.6434112,train_mse=419.96823
step=2700,train_loss=4.7392225,train_bpp=1.6237333,train_mse=280.17075
step=2800,train_loss=5.1260858,train_bpp=1.5782858,train_mse=289.8433
step=2900,train_loss=2.9131718,train_bpp=1.5711659,train_mse=168.40399
step=3000,train_loss=4.9541655,train_bpp=1.5140336,train_mse=119.82009
step=3100,train_loss=4.5183716,train_bpp=1.4555143,train_mse=283.2401
step=3200,train_loss=2.8538773,train_bpp=1.4665359,train_mse=244.84085
step=3300,train_loss=5.693512,train_bpp=1.4990133,train_mse=246.64397
step=3400,train_loss=3.3433003,train_bpp=1.429279,train_mse=371.75323
step=3500,train_loss=4.095581,train_bpp=1.4436072,train_mse=183.56413
step=3600,train_loss=2.6331518,train_bpp=1.4087324,train_mse=130.99413
step=3700,train_loss=2.2462192,train_bpp=1.3294637,train_mse=151.23848
step=3800,train_loss=4.924084,train_bpp=1.3773488,train_mse=34.142105
step=3900,train_loss=4.667305,train_bpp=1.2793952,train_mse=209.74864
step=4000,train_loss=3.373036,train_bpp=1.2886074,train_mse=134.59949
step=4100,train_loss=5.0263295,train_bpp=1.1642654,train_mse=326.5819
step=4200,train_loss=2.0156083,train_bpp=1.1878171,train_mse=391.9553
step=4300,train_loss=3.3250804,train_bpp=1.258269,train_mse=551.2677
step=4400,train_loss=3.7360485,train_bpp=1.1552861,train_mse=367.01514
step=4500,train_loss=3.0210316,train_bpp=1.2242051,train_mse=189.6291
step=4600,train_loss=1.798469,train_bpp=1.2060827,train_mse=188.65195
step=4700,train_loss=2.9352987,train_bpp=1.0964733,train_mse=533.61615
step=4800,train_loss=2.961607,train_bpp=1.0191873,train_mse=129.65318
step=4900,train_loss=2.4522328,train_bpp=1.1891586,train_mse=40.936943
step=5000,train_loss=2.1068108,train_bpp=1.2274601,train_mse=80.30296
step=5100,train_loss=5.0107584,train_bpp=1.116904,train_mse=167.98001
step=5200,train_loss=6.6356077,train_bpp=1.1156172,train_mse=627.5294
step=5300,train_loss=3.2361484,train_bpp=1.2586439,train_mse=164.20625
step=5400,train_loss=1.4119914,train_bpp=1.0771375,train_mse=116.42988
step=5500,train_loss=2.002039,train_bpp=1.1118599,train_mse=491.21863
step=5600,train_loss=3.262771,train_bpp=0.9868739,train_mse=102.97937
step=5700,train_loss=5.6722064,train_bpp=0.92223656,train_mse=296.09256
step=5800,train_loss=1.9137243,train_bpp=1.1043178,train_mse=365.67044
step=5900,train_loss=4.2605524,train_bpp=1.0830804,train_mse=205.39299
step=6000,train_loss=1.7440372,train_bpp=0.8846837,train_mse=100.61331
step=6100,train_loss=2.8087573,train_bpp=1.3203863,train_mse=95.30358
step=6200,train_loss=3.3002872,train_bpp=0.9655157,train_mse=53.27387
step=6300,train_loss=3.685829,train_bpp=0.91103405,train_mse=148.06451
step=6400,train_loss=1.9196192,train_bpp=0.8978205,train_mse=198.77963
step=6500,train_loss=2.378821,train_bpp=0.99131376,train_mse=125.528885
step=6600,train_loss=3.3589358,train_bpp=1.1949964,train_mse=427.64722
step=6700,train_loss=1.427372,train_bpp=0.93922323,train_mse=64.672455
